sample no	grandparent	Acc. human 1	Acc. human 2	Acc. GPT2-xl	definition-context	model match score	aligned together	synset	definition	context word	context	correct context word	correct context	
0	message.n.02	1.00	0.62	0.62	5-5	-37.4	False	rule.n.03	prescribed guide for conduct or action	rules	Under committee <XXX> , it went automatically to a subcommittee for one week .	rules	Under committee <XXX> , it went automatically to a subcommittee for one week .
0	message.n.02	1.00	0.62	0.62	5-6	-37.0	True	rule.n.03	prescribed guide for conduct or action	proposition	Will mere debate on that <XXX> , even though it be free and untrammeled , remove the dross and leave a residue of refined gold ?	rules	Under committee <XXX> , it went automatically to a subcommittee for one week .
0	message.n.02	1.00	0.62	0.62	6-6	-49.4	False	proposition.n.01	(logic) a statement that affirms or denies something and is either true or false	proposition	Will mere debate on that <XXX> , even though it be free and untrammeled , remove the dross and leave a residue of refined gold ?	proposition	Will mere debate on that <XXX> , even though it be free and untrammeled , remove the dross and leave a residue of refined gold ?
0	message.n.02	1.00	0.62	0.62	6-8	-48.7	True	proposition.n.01	(logic) a statement that affirms or denies something and is either true or false	word	She never said a <XXX> about the fifty dollars .	proposition	Will mere debate on that <XXX> , even though it be free and untrammeled , remove the dross and leave a residue of refined gold ?
0	message.n.02	1.00	0.62	0.62	8-5	-11.9	True	word.n.02	a brief statement	rules	Under committee <XXX> , it went automatically to a subcommittee for one week .	word	She never said a <XXX> about the fifty dollars .
0	message.n.02	1.00	0.62	0.62	8-8	-11.6	False	word.n.02	a brief statement	word	She never said a <XXX> about the fifty dollars .	word	She never said a <XXX> about the fifty dollars .
1	abstraction.n.06	1.00	1.00	0.22	1-1	-44.6	False	state.n.02	the way something is with respect to its main attributes	state	In the above development we have applied the thermodynamics of equilibrium ( referred to by some as thermostatics ) to the steady <XXX> .	state	In the above development we have applied the thermodynamics of equilibrium ( referred to by some as thermostatics ) to the steady <XXX> .
1	abstraction.n.06	1.00	1.00	0.22	1-6	-46.4	True	state.n.02	the way something is with respect to its main attributes	relationship	The <XXX> between particle size and infectious dose is illustrated in Table 1 .	state	In the above development we have applied the thermodynamics of equilibrium ( referred to by some as thermostatics ) to the steady <XXX> .
1	abstraction.n.06	1.00	1.00	0.22	2-2	-60.1	False	time.n.05	the continuum of experience in which events pass from the future through the present to the past	time	As <XXX> has passed and science has progressed , the speed of military vehicles has increased , the range of missiles has been extended , the use of target-hunting noses on the projectiles has been adopted , and the range and breadth of message sending has increased .	time	As <XXX> has passed and science has progressed , the speed of military vehicles has increased , the range of missiles has been extended , the use of target-hunting noses on the projectiles has been adopted , and the range and breadth of message sending has increased .
1	abstraction.n.06	1.00	1.00	0.22	2-9	-62.0	True	time.n.05	the continuum of experience in which events pass from the future through the present to the past	interval	We have shown that the graph of f contains at least one component whose inverse is the entire <XXX> [ 0 , T ] , and whose multiplicity is odd .	time	As <XXX> has passed and science has progressed , the speed of military vehicles has increased , the range of missiles has been extended , the use of target-hunting noses on the projectiles has been adopted , and the range and breadth of message sending has increased .
