===============================================================================================

WORD: boondoggle.n.01 (['Ġbo', 'ond', 'oggle']),     Number of Definitions: 7


True Definition:
work of little or no value done merely to look busy

Prediction Rank Score: 0.17

Definitions (True=1):

1) work of little or no value done merely to look busy (boondoggle.n.01)
Prediction Prob: 8.58417952279608e-06, Prediction Rank: 6

2) excessive spending (extravagance.n.03)
Prediction Prob: 0.0001959283552780135, Prediction Rank: 1

3) spending resources lavishly and wastefully (squandering.n.01)
Prediction Prob: 0.00015174495220733478, Prediction Rank: 3

4) a useless effort (waste_of_effort.n.01)
Prediction Prob: 1.0631824023145537e-05, Prediction Rank: 5

5) a useless consumption of material (waste_of_material.n.01)
Prediction Prob: 1.3533652147900236e-05, Prediction Rank: 4

6) money spent for inadequate return (waste_of_money.n.01)
Prediction Prob: 0.00016720222826756252, Prediction Rank: 2

7) the devotion of time to a useless activity (waste_of_time.n.01)
Prediction Prob: 8.010290513087833e-07, Prediction Rank: 7


=====================================================
Rank Scores when single contexts are prepadded:

0) RS: 1.00	Context: work of little or no value done merely to look busy is the definition of boondoggle. 
------------------------------------------------------------
1) RS: 1.00	Context: in a commentary on the right-wing website newsmax.com , miguel a. faria jr. attacked the program as statist and collectivist , a `` bureaucratic boondoggle '' that might evolve into `` compulsory service , '' and the name `` usa freedom corps '' as an instance of orwellian newspeak . 
2) RS: 0.50	Context: known as `` boondoggle '' or `` gimp '' ( also spelled `` gymp '' ) , it is used for making lanyards . lanyards of this type . 
3) RS: 0.50	Context: intact after the explosion , had a strange vegetation coiled around it . their trademark evil exploits being a dead giveaway , invaders from the boondoggle galaxy had arrived to take over the earth . to counter these evil forces , leading scientists from all over the globe created the . 
4) RS: 0.50	Context: when geffen disbanded shortly after the release of the record , fulks found himself without a label , so he started his own company , boondoggle records ( distributed by bloodshot ) , and released an album of previously unreleased material called `` the very best of robbie fulks '' . 
5) RS: 0.50	Context: dimension producing a very rounded shape . opinions of the tree 's aesthetic merit vary ; dirr considered that the tree `` borders on a boondoggle '' whereas warren and jacobson thought the shape 'good ' , and the foliage a decent autumn colour ( the leaves turn orange-yellow ) . 
6) RS: 0.50	Context: boondoggle ( project ) . . 
7) RS: 0.50	Context: gurney ran on a record that included votes against civil rights legislation , foreign aid , and that `` expensive boondoggle , '' the war on poverty .. . 
8) RS: 0.50	Context: tried to attract new employers and industries through the 1980s and 1990s . the city 's strategies were not always successful ; one particularly famous boondoggle saw substantial municipal funding given to a failed angora goat farm . . 
9) RS: 0.50	Context: . essentially , all the design structures in the park were removed -- with the exception of the fountain itself -- for what became a boondoggle . harbormasters restaurant was supposed to bring large crowds to the southbank riverwalk , but the venture failed , leaving the city $ 3 . 
10) RS: 0.33	Context: civil works projects have been characterized as being riddled with patronage ( see pork barrel ) or a waste of money and resources ( see boondoggle ( project ) ) such as the new madrid floodway project and the new orleans flood protection . projects have allegedly been justified based . 
11) RS: 0.33	Context: , the building is now practically fully occupied . because of the drastic difference in height and cost-overruns , it was thought of as a boondoggle , and the tower was nicknamed the `` canderel mini-tower '' , from the construction firm who built it . . 
12) RS: 0.33	Context: evidence of anything '' . speaking to reporters he added following the announcement of the investigation : `` if you want to avert a billion-dollar boondoggle , you have to make some difficult decisions '' . . 
13) RS: 0.33	Context: pettigrew was fortunate to have been shuffled to the portfolio of international trade . his successor jane stewart took the brunt of the `` billion-dollar boondoggle '' scandal . . 
14) RS: 0.33	Context: global transpark has not met the expectations of its proponents ( who originally compared it to the research triangle park ) and is considered a boondoggle and white elephant by many north carolinians . . 
15) RS: 0.33	Context: the $ 1.9 billion airtrain faced criticism from southeastern queens residents who feared the project could become a boondoggle , and again after the death of a worker during a test run , early problems with the doors , and delays leading up . 
16) RS: 0.33	Context: , jr. , rejected one of his articles for the new `` national review '' . this submission had attacked militarism as a `` job-making boondoggle . '' flynn retired from public life in 1960 . during his last years ( he died in 1964 ) some of his books . 
17) RS: 0.33	Context: magazine . in 1938 , he began work for the federal writers ' project in washington , d. c. , which he considered an embarrassing boondoggle . as an editor for the `` wpa guide to new york city , '' cheever was charged with ( as he put it . 
18) RS: 0.33	Context: . `` the economist '' magazine , commenting that most secretaries-general are `` usually a senior regional official rewarded with the post as the crowning boondoggle in a career of not rocking the boat '' , states that pitsuwan is different in that he seeks an activist role in member . 
19) RS: 0.33	Context: approved in a 1960 bond measure . the vote on the bond split along north-south lines , as northern californians opposed the measure as a boondoggle and an attempt to steal their water resources . most of the water ( roughly 80 % ) carried by the project is used . 
20) RS: 0.33	Context: based on accounting gimmicks ( that `` give gimmicks a bad name '' ) , `` phony inflated estimates of revenue '' and a `` boondoggle '' of `` massive '' corporate tax breaks at a time of mounting state deficit . . 
21) RS: 0.33	Context: that spent most of the money called the resort the jewel of the north . opposition liberal and new democratic party politicians called it a boondoggle and a sinkhole . owners since then have included a nearby indian band , a texan speculator and a calgary , alberta , real . 
22) RS: 0.33	Context: subsequent administrations , both municipal and provincial , opposed the jardin as a boondoggle ; however , brother marie-victorin continued to champion the jardin 's cause , promoting it at every opportunity , leading specimen-collection expeditions , and . 
