===============================================================================================

WORD: masterstroke.n.01 (['Ġmaster', 'stroke']),     Number of Definitions: 19


True Definition:
an achievement demonstrating great skill or mastery

Prediction Rank Score: 0.89

Definitions (True=1):

1) an achievement demonstrating great skill or mastery (masterstroke.n.01)
Prediction Prob: 1.8095400174031318e-06, Prediction Rank: 3

2) accomplishment of an objective (arrival.n.01)
Prediction Prob: 1.2956880874969778e-07, Prediction Rank: 14

3) the act of achieving an aim (attainment.n.01)
Prediction Prob: 9.37783931957414e-08, Prediction Rank: 15

4) (baseball) an advance to first base by a batter who receives four balls (base_on_balls.n.01)
Prediction Prob: 1.7623097706288768e-08, Prediction Rank: 19

5) an initial accomplishment that opens the way for further developments (beachhead.n.02)
Prediction Prob: 7.956389341753033e-08, Prediction Rank: 16

6) an easy accomplishment (cakewalk.n.02)
Prediction Prob: 2.117556842315551e-07, Prediction Rank: 12

7) something achieved (or escaped) by a narrow margin (close_call.n.01)
Prediction Prob: 2.560817509111163e-06, Prediction Rank: 2

8) used in the phrase `to your credit' in order to indicate an achievement deserving praise (credit.n.04)
Prediction Prob: 3.795274420357708e-07, Prediction Rank: 9

9) an act that avoids a loss of face (of dignity or prestige) (face_saver.n.01)
Prediction Prob: 4.1706994779796023e-07, Prediction Rank: 8

10) an irreversible accomplishment (fait_accompli.n.01)
Prediction Prob: 9.653763211318035e-07, Prediction Rank: 4

11) a notable achievement (feat.n.01)
Prediction Prob: 1.374642303478417e-07, Prediction Rank: 13

12) advancing toward a goal (going.n.03)
Prediction Prob: 3.036106746499914e-08, Prediction Rank: 18

13) taking full advantage of an opportunity while it lasts (haymaking.n.01)
Prediction Prob: 4.259107785567094e-06, Prediction Rank: 1

14) the act of liberating someone or something (liberation.n.01)
Prediction Prob: 4.380534225441305e-07, Prediction Rank: 7

15) an outstanding achievement (masterpiece.n.02)
Prediction Prob: 3.0007768596450386e-07, Prediction Rank: 11

16) any recognized accomplishment (performance.n.04)
Prediction Prob: 3.607950785908217e-07, Prediction Rank: 10

17) the sum of recognized accomplishments (record.n.04)
Prediction Prob: 8.469328202530735e-07, Prediction Rank: 5

18) the act of getting recruits; enlisting people for the army (or for a job or a cause etc.) (recruitment.n.01)
Prediction Prob: 7.078447358943173e-08, Prediction Rank: 17

19) the act of smoothing (smooth.n.01)
Prediction Prob: 6.769154882657673e-07, Prediction Rank: 6


=====================================================
Rank Scores when single contexts are prepadded:

0) RS: 1.00	Context: an achievement demonstrating great skill or mastery is the definition of masterstroke. 
------------------------------------------------------------
1) RS: 1.00	Context: album , the band has announced a tour of the united states and europe , with support on the european dates coming from manticora and masterstroke . a us tour has been planned with support from circle ii circle and manticora . should the tour go ahead , it would . 
2) RS: 1.00	Context: the capabilities of the nuclear-powered attack submarine . the highlight of 1964 was two months of duty with nato forces , participating in exercises `` masterstroke '' and `` teamwork '' and visiting le havre , france , and the isle of portland , england , before returning to new . 
3) RS: 1.00	Context: up her east coast-west indies routine . in september and october , she visited european waters again to participate in two nato exercises , operations masterstroke and teamwork . the warship returned to norfolk on 20 october and resumed 2nd fleet operations . in november , she began her first . 
4) RS: 1.00	Context: on 25 july . between 8 september and 18 december , the ship made another brief deployment to the mediterranean , highlighted by operation `` masterstroke '' and nato exercise `` teamwork '' during the outbound voyage . while conducting the latter operation , `` warrington '' briefly ventured north . 
5) RS: 0.94	Context: yet a fully fledged autonomous province ) he would be playing from a very strong position . jinnah ’ s tactics were to prove a masterstroke of politics and would lead eventually to the creation of pakistan . . 
6) RS: 0.94	Context: of intellectual resources is considered by some an indication of napoleon 's devotion to the principles of the enlightenment , and by others as a masterstroke of propaganda obfuscating the true imperialist motives of the invasion . . 
7) RS: 0.94	Context: in 1962 giles delivered his masterstroke announcing the pending merger of elder smith and goldsbrough mort with its new corporate headquarters in adelaide . . 
8) RS: 0.89	Context: '' doctrine from the supreme court 's `` plessy v. ferguson '' decision as it pertained to public education in the united states was the masterstroke that brought about the landmark `` brown '' decision . . 
9) RS: 0.89	Context: the highlight of a disappointing campaign under ray medwell , but the appointment of ex-skipper hird as boss in the summer of 1979 proved a masterstroke . . 
10) RS: 0.89	Context: phil daley and english import , castleford 's kevin ward who was flown back out to australia specifically for the grand final . manly 's masterstroke was the signing of former rugby union international michael o'connor from st. george who was regarded as one of the most gifted attacking backs . 
11) RS: 0.89	Context: , commander of the huk regional command in the visayas , erstwhile secretary general and one of the founders of the pkp . santos ' masterstroke was the enlistment of pedro valentin , a local mountain leader who knew the people and the terrain like the back of his hand . 
12) RS: 0.83	Context: second division club due to the creation of the premier league , though they were now in the third tier . ian taylor became another masterstroke signing . taylor was purchased from non-league moor green for £15,000 in may 1992 . . 
13) RS: 0.83	Context: the primary source of comic relief on the show . he is also able to develop film with common household items as seen in `` masterstroke of malevolance . '' . 
14) RS: 0.83	Context: of a new coalition government , bringing senior figures from the opposition into the cabinet . at first the coalition was seen as a political masterstroke , as the conservative leader bonar law was given a relatively minor job ( secretary for the colonies ) , whilst former conservative leader . 
15) RS: 0.83	Context: to the season with six wins and five losses by the end of the first full round . but their plight was rescued by a masterstroke from their chief executive keith barnes . the great britain side was touring australia that season and in strict secrecy barnes negotiated to have . 
16) RS: 0.83	Context: dean street the day before setting sail for the battle of trafalgar . he spent the night drawing up his final battleplans , including the masterstroke of painting identifiable gold and black checks on the ships . he is said to have spent the early part of the evening at . 
17) RS: 0.83	Context: , france ; and naples , italy , provided diversion for the ship 's company between u.s. and nato operations `` teamwork '' , `` masterstroke '' , and `` steel pike i '' . she returned to newport on 18 december . . 
18) RS: 0.83	Context: larkham ’ s conversion from fullback to flyhalf is now hailed as a rod macqueen masterstroke that put the wallabies on track to win the 1999 rugby world cup . however , initially this was controversial selection as his tactical . 
19) RS: 0.83	Context: which would have effectively ended his championship challenge . schumacher won the race after switching to a 3-stop strategy , which was seen as a masterstroke by tactician ross brawn . meanwhile häkkinen fell to 6th after gearbox problems in the closing stages . . 
20) RS: 0.83	Context: was ultimately realised in 2009 . the replacement of premiership-winning coach steve folkes with his assistant kevin moore was met with uncertainty but proved a masterstroke . the purchases of several key players , including former melbourne and cronulla playmaker brett kimmorley changed the bulldogs from a poorly-run and poorly-performing . 
21) RS: 0.78	Context: , he finds out that speckles , whose home and family had been destroyed by humans , is the mastermind of the plan , whose masterstroke is to cause a massive planetwide bombardment of space junk pulled from orbit to make the planet surface uninhabitable . speckles promptly amalgamates the . 
22) RS: 0.78	Context: , instantly becoming one of tv 's funniest , sharpest shows . the casting of steve carell in the gervais role proved to be a masterstroke . the american `` office '' is that rarest of anomalies : a remake of a classic show that both does right by its . 
23) RS: 0.78	Context: as `` a clever and effective argument '' . simon singh of the `` daily telegraph '' described the flying spaghetti monster as `` a masterstroke , which underlined the absurdity of intelligent design , '' and applauded henderson for `` galvanis [ ing ] a defence of science and . 
24) RS: 0.78	Context: probably could not breach it . this essentially reduced the conflict to a naval one . themistocles now proposed what was in hindsight the strategic masterstroke in the allied campaign ; to lure the persian fleet to battle in the straits of salamis . however , as successful as this . 
25) RS: 0.78	Context: . the descent to the extraterrestrial surface . the bitching by brett and parker , who are concerned only about collecting their shares . the masterstroke of the surface murk through which the crew members move , their helmet lights hardly penetrating the soup . the shadowy outline of the . 
26) RS: 0.72	Context: after three dismal seasons on the field and at the gate , the team started to gel again . in a masterstroke , finley hired billy martin to manage the young team , led by new young stars rickey henderson , mike norris , tony armas . 
27) RS: 0.72	Context: probably the best known example of such an approach is trapezoidal saint peter 's square , which has been praised as a masterstroke of baroque theatre . the square is shaped by two colonnades , designed by gian lorenzo bernini on an unprecedented colossal scale to suit . 
28) RS: 0.72	Context: against the us over the fenians , the british had agreed to guarantee canadian loans for the construction of the canadian pacific railway . this masterstroke of diplomacy and statecraft allowed an otherwise deeply unpopular treaty to be ratified by parliament . . 
29) RS: 0.72	Context: other schemes included the building of shelters for migrant workers ; the forgiveness of rural debt ; and , in a populist masterstroke , a plan to have an electric bulb in every house . when r. k. baliga , founder of the electronics city proposed the . 
30) RS: 0.72	Context: accompaniment , and the syncopated chords from measures 72-77 give the piece a forward momentum . meter changes in measures 9 and 16 are a masterstroke , delicately altering the overall sense of phrase balance . . 
31) RS: 0.72	Context: for the democratic party in the 1960s . despite the reservations robert kennedy had about johnson 's nomination , the move proved to be a masterstroke for his older brother . johnson vigorously campaigned for jfk and was instrumental in helping the democrats to carry several southern states skeptical of . 
32) RS: 0.72	Context: the negotiation led by gustav nobel , on one side , and walter c. teagle , on the other , proved to be a profitable masterstroke for the nobel family . . 
